"Keys","EN","DE","FR","DA","ZH","ES","RU","VI","JA","NO","KO","TE","HI","AR"
"Close Window2","Close Window2","Close Window2","Close Window2","Close Window2","","","","","","","","","",""
"Close Window","Close Window","Fenster schließen","Fermer la fenêtre","Luk vindue","关闭窗口","Cerrar ventana","Закрой окно","Đóng cửa sổ","ウィンドウを閉じる","Lukk vindu","창 닫기","విండో మూసివెయ్యి","विंडो बंद करें","أغلق النافذة"
"Keep Panel Open","Keep Panel Open","Fenster geöffnet halten","Maintenir le panneau ouvert","Hold Panel Open","保持面板打开","Mantenga Grupo abierto","Держите панель Open","Giữ Bảng điều chỉnh mở","パネルオープンにしてください","Hold Panel Åpen","패널 열기를 유지","ప్యానెల్ ఓపెన్ ఉంచండి","पैनल खुला रखें","حافظ على لوحة المفتوحة"
"Switch to grid view","Switch to grid view","Wechseln Sie in den Rasteransicht","Passer au mode affichage grille","Skift til gittervisning","切换到网格视图","Cambiar a vista de cuadrícula","Просмотр в виде сетки","Chuyển sang xem lưới","グリッドビューに切り替え","Bytt til rutenettvisning","격자보기로 전환","గ్రిడ్ వీక్షణ మారండి","ग्रिड दृश्य पर स्विच","التبديل إلى عرض الشبكة"
"Home","Home","Zuhause","maison","Hjem","家","Casa","Главная","Nhà","家","Hjem","집","హోమ్","घर","الصفحة الرئيسية"
"Editor Only","Editor Only","Nur Editor","Seulement éditeur","Kun Editor","Editor只","Sólo editor","Редактор только","Chỉ editor","エディタのみ","Bare Editor","에디터 만","ఎడిటర్","संपादक केवल","محرر فقط"
"Save Language Keys","Save Language Keys","Save Keys Sprache","Enregistrer langue Clés","Gem Sprog Keys","保存语言的按键","Save Keys Idioma","Сохранить Языковые ключи","Lưu Ngôn ngữ Phím","言語キーを保存","Lagre Språk Keys","저장 언어 키","సేవ్ భాషా కీస్","सहेजें भाषा कुंजी","حفظ مفاتيح اللغة"
"Generate Thumbnails","Generate Thumbnails","generieren Sie Thumbnails","générer des vignettes","Generer miniaturer","生成缩略图","generar miniaturas","Генерация миниатюр","tạo Thumbnail","サムネイルを生成","generere miniatyrbilder","썸네일을 생성","సూక్ష్మ సృష్టించు","थंबनेल उत्पन्न","توليد الصور المصغرة"
"File","File","Datei","fichier","Fil","文件","Archivo","файл","Tập tin","ファイル","Fil","파일","ఫైలు","फ़ाइल","ملف"
"New...","New...","Neu ...","New ...","Ny ...","新...","Nuevo...","Новый ...","Mới...","新しい...","Ny...","새로운...","కొత్త ...","नया...","الجديد..."
